6,0,18,9,-0.2516,1,0.0002,0.9911,0.0089,0.9998
7,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
7,0,6,6,-0.8680,1,0.1262,0.7105,0.2895,0.8738
7,0,9,9,-0.7251,1,0.0095,0.9141,0.0859,0.9905
7,0,3,3,-0.3849,1,0.0025,0.9627,0.0373,0.9975
7,0,18,9,-0.2516,1,0.0002,0.9911,0.0089,0.9998
8,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
8,0,6,6,-0.8680,1,0.1262,0.7105,0.2895,0.8738
8,0,9,9,-0.7251,1,0.0095,0.9141,0.0859,0.9905
8,0,3,3,-0.3849,1,0.0025,0.9627,0.0373,0.9975
8,0,18,9,-0.2516,1,0.0002,0.9911,0.0089,0.9998
9,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
9,0,6,6,-0.8680,1,0.1262,0.7105,0.2895,0.8738
9,0,9,9,-0.7251,1,0.0095,0.9141,0.0859,0.9905
9,0,3,3,-0.3849,1,0.0025,0.9627,0.0373,0.9975
9,0,18,9,-0.2516,1,0.0002,0.9911,0.0089,0.9998
10,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
10,0,6,6,-0.8680,0,0.7105,0.1262,0.8738,0.2895
10,0,3,3,-0.7251,0,0.9141,0.0095,0.9905,0.0859
10,0,9,9,-0.3849,0,0.9627,0.0025,0.9975,0.0373
10,0,12,3,-0.2516,0,0.9911,0.0002,0.9998,0.0089
11,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
11,0,6,6,-0.8680,0,0.7105,0.1262,0.8738,0.2895
11,0,3,3,-0.7251,0,0.9141,0.0095,0.9905,0.0859
11,0,9,9,-0.3849,0,0.9627,0.0025,0.9975,0.0373
11,0,12,3,-0.2516,0,0.9911,0.0002,0.9998,0.0089
12,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
12,0,6,6,-0.8680,0,0.7105,0.1262,0.8738,0.2895
12,0,3,3,-0.7251,0,0.9141,0.0095,0.9905,0.0859
12,0,9,9,-0.3849,0,0.9627,0.0025,0.9975,0.0373
12,0,12,3,-0.2516,0,0.9911,0.0002,0.9998,0.0089
13,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
13,0,6,6,-0.8680,0,0.7105,0.1262,0.8738,0.2895
13,0,3,3,-0.7251,0,0.9141,0.0095,0.9905,0.0859
13,0,9,9,-0.3849,0,0.9627,0.0025,0.9975,0.0373
13,0,12,3,-0.2516,0,0.9911,0.0002,0.9998,0.0089
14,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
14,0,6,6,-0.8680,1,0.1262,0.7105,0.2895,0.8738
14,0,9,9,-0.7251,1,0.0095,0.9141,0.0859,0.9905
14,0,3,3,-0.3849,1,0.0025,0.9627,0.0373,0.9975
